year,county,facilityType,vmt,laneMiles,minElast,maxElast
2016,Aitkin,Local,22558244,2100,0.3,0.5
2016,Aitkin,Major Collector,33989654,421,0.5,0.7
2016,Aitkin,Minor Arterial,86303295,309,0.5,0.7
2016,Aitkin,Minor Collector,9870278,384,0.5,0.7
2016,Aitkin,Principal Arterial,108663783,179,0.7,1
2016,Anoka,Freeway/Expressway,416405292,68,0.7,1
2016,Anoka,Interstate,506006435,104,0.7,1
2016,Anoka,Local,496359286,3434,0.3,0.5
2016,Anoka,Major Collector,220735906,427,0.5,0.7
2016,Anoka,Minor Arterial,1019398855,783,0.5,0.7
2016,Anoka,Minor Collector,21162359,114,0.5,0.7
2016,Anoka,Principal Arterial,474481042,157,0.7,1
2016,Becker,Local,50146332,2937,0.3,0.5
2016,Becker,Major Collector,92517960,640,0.5,0.7
2016,Becker,Minor Arterial,14458106,15,0.5,0.7
2016,Becker,Minor Collector,43092221,437,0.5,0.7
2016,Becker,Principal Arterial,227110675,240,0.7,1
2016,Beltrami,Freeway/Expressway,27227139,31,0.7,1
2016,Beltrami,Local,42323048,3337,0.3,0.5
2016,Beltrami,Major Collector,111501393,707,0.5,0.7
2016,Beltrami,Minor Arterial,89848405,312,0.5,0.7
2016,Beltrami,Minor Collector,14491281,364,0.5,0.7
2016,Beltrami,Principal Arterial,120958190,164,0.7,1
2016,Benton,Local,52462740,1310,0.3,0.5
2016,Benton,Major Collector,55254990,231,0.5,0.7
2016,Benton,Minor Arterial,93944551,146,0.5,0.7
2016,Benton,Minor Collector,15967156,176,0.5,0.7
2016,Benton,Principal Arterial,267344716,164,0.7,1
2016,Big Stone,Local,14022784,1283,0.3,0.5
2016,Big Stone,Major Collector,14136028,248,0.5,0.7
2016,Big Stone,Minor Arterial,27708602,132,0.5,0.7
2016,Big Stone,Minor Collector,3517870,154,0.5,0.7
2016,Big Stone,Principal Arterial,10333891,38,0.7,1
2016,Blue Earth,Freeway/Expressway,61139256,25,0.7,1
2016,Blue Earth,Local,70168684,2159,0.3,0.5
2016,Blue Earth,Major Collector,103440570,536,0.5,0.7
2016,Blue Earth,Minor Arterial,190430973,284,0.5,0.7
2016,Blue Earth,Minor Collector,38236234,402,0.5,0.7
2016,Blue Earth,Principal Arterial,158556100,167,0.7,1
2016,Brown,Local,46812115,1608,0.3,0.5
2016,Brown,Major Collector,57534869,365,0.5,0.7
2016,Brown,Minor Arterial,38538289,105,0.5,0.7
2016,Brown,Minor Collector,13695662,252,0.5,0.7
2016,Brown,Principal Arterial,81459788,115,0.7,1
2016,Carlton,Interstate,232206467,127,0.7,1
2016,Carlton,Local,41562760,1456,0.3,0.5
2016,Carlton,Major Collector,87418931,417,0.5,0.7
2016,Carlton,Minor Arterial,58547737,129,0.5,0.7
2016,Carlton,Minor Collector,18748050,249,0.5,0.7
2016,Carlton,Principal Arterial,61975817,82,0.7,1
2016,Carver,Freeway/Expressway,107013219,35,0.7,1
2016,Carver,Local,122656982,1431,0.3,0.5
2016,Carver,Major Collector,58282785,190,0.5,0.7
2016,Carver,Minor Arterial,433790614,458,0.5,0.7
2016,Carver,Minor Collector,8713272,86,0.5,0.7
2016,Carver,Principal Arterial,159017580,92,0.7,1
2016,Cass,Local,49694770,4152,0.3,0.5
2016,Cass,Major Collector,80916315,646,0.5,0.7
2016,Cass,Minor Arterial,81735317,274,0.5,0.7
2016,Cass,Minor Collector,24645727,557,0.5,0.7
2016,Cass,Principal Arterial,183766151,232,0.7,1
2016,Chippewa,Local,28165859,1646,0.3,0.5
2016,Chippewa,Major Collector,32661344,340,0.5,0.7
2016,Chippewa,Minor Arterial,22627565,113,0.5,0.7
2016,Chippewa,Minor Collector,4719462,171,0.5,0.7
2016,Chippewa,Principal Arterial,72672732,130,0.7,1
2016,Chisago,Interstate,362682098,121,0.7,1
2016,Chisago,Local,84925490,1450,0.3,0.5
2016,Chisago,Major Collector,97577276,328,0.5,0.7
2016,Chisago,Minor Arterial,146164605,182,0.5,0.7
2016,Chisago,Minor Collector,23791109,223,0.5,0.7
2016,Chisago,Principal Arterial,97862613,51,0.7,1
2016,Clay,Interstate,231275046,108,0.7,1
2016,Clay,Local,80856606,2915,0.3,0.5
2016,Clay,Major Collector,115065132,443,0.5,0.7
2016,Clay,Minor Arterial,152219337,304,0.5,0.7
2016,Clay,Minor Collector,25468467,390,0.5,0.7
2016,Clay,Principal Arterial,174203548,131,0.7,1
2016,Clearwater,Local,16371705,1620,0.3,0.5
2016,Clearwater,Major Collector,25962392,358,0.5,0.7
2016,Clearwater,Minor Arterial,28413294,139,0.5,0.7
2016,Clearwater,Minor Collector,10377361,266,0.5,0.7
2016,Clearwater,Principal Arterial,35742457,71,0.7,1
2016,Cook,Local,5242999,752,0.3,0.5
2016,Cook,Major Collector,27995165,233,0.5,0.7
2016,Cook,Minor Collector,6674716,206,0.5,0.7
2016,Cook,Principal Arterial,78084614,160,0.7,1
2016,Cottonwood,Local,26884862,1677,0.3,0.5
2016,Cottonwood,Major Collector,39259405,405,0.5,0.7
2016,Cottonwood,Minor Arterial,17432804,96,0.5,0.7
2016,Cottonwood,Minor Collector,6906189,269,0.5,0.7
2016,Cottonwood,Principal Arterial,60924012,95,0.7,1
2016,Crow Wing,Local,133260720,2678,0.3,0.5
2016,Crow Wing,Major Collector,134721595,585,0.5,0.7
2016,Crow Wing,Minor Arterial,193905190,272,0.5,0.7
2016,Crow Wing,Minor Collector,25362851,231,0.5,0.7
2016,Crow Wing,Principal Arterial,342287184,239,0.7,1
2016,Dakota,Freeway/Expressway,316716792,74,0.7,1
2016,Dakota,Interstate,1131246442,202,0.7,1
2016,Dakota,Local,514765421,3499,0.3,0.5
2016,Dakota,Major Collector,321593300,518,0.5,0.7
2016,Dakota,Minor Arterial,1127939322,867,0.5,0.7
2016,Dakota,Minor Collector,53603243,237,0.5,0.7
2016,Dakota,Principal Arterial,662662032,264,0.7,1
2016,Dodge,Local,33074053,1214,0.3,0.5
2016,Dodge,Major Collector,45147847,253,0.5,0.7
2016,Dodge,Minor Arterial,44858033,101,0.5,0.7
2016,Dodge,Minor Collector,21779855,221,0.5,0.7
2016,Dodge,Principal Arterial,78927218,63,0.7,1
2016,Douglas,Interstate,233020800,139,0.7,1
2016,Douglas,Local,48979884,2100,0.3,0.5
2016,Douglas,Major Collector,102125974,414,0.5,0.7
2016,Douglas,Minor Arterial,163559672,167,0.5,0.7
2016,Douglas,Minor Collector,53102331,324,0.5,0.7
2016,Faribault,Interstate,100329526,122,0.7,1
2016,Faribault,Local,33867217,1883,0.3,0.5
2016,Faribault,Major Collector,47850565,453,0.5,0.7
2016,Faribault,Minor Arterial,22804579,68,0.5,0.7
2016,Faribault,Minor Collector,10127233,362,0.5,0.7
2016,Faribault,Principal Arterial,25190894,53,0.7,1
2016,Fillmore,Local,44647606,2196,0.3,0.5
2016,Fillmore,Major Collector,49815170,435,0.5,0.7
2016,Fillmore,Minor Arterial,53375203,213,0.5,0.7
2016,Fillmore,Minor Collector,11353232,247,0.5,0.7
2016,Fillmore,Principal Arterial,79634716,105,0.7,1
2016,Freeborn,Interstate,317868998,224,0.7,1
2016,Freeborn,Local,53556502,2037,0.3,0.5
2016,Freeborn,Major Collector,62721217,431,0.5,0.7
2016,Freeborn,Minor Arterial,102440505,190,0.5,0.7
2016,Freeborn,Minor Collector,23010176,352,0.5,0.7
2016,Goodhue,Freeway/Expressway,24377738,11,0.7,1
2016,Goodhue,Local,67647180,2153,0.3,0.5
2016,Goodhue,Major Collector,90147558,385,0.5,0.7
2016,Goodhue,Minor Arterial,152154688,276,0.5,0.7
2016,Goodhue,Minor Collector,28563595,327,0.5,0.7
2016,Goodhue,Principal Arterial,330637782,202,0.7,1
2016,Grant,Interstate,51631675,38,0.7,1
2016,Grant,Local,14715797,1435,0.3,0.5
2016,Grant,Major Collector,15748852,225,0.5,0.7
2016,Grant,Minor Arterial,27831901,159,0.5,0.7
2016,Grant,Minor Collector,3894335,183,0.5,0.7
2016,Grant,Principal Arterial,15709902,53,0.7,1
2016,Hennepin,Freeway/Expressway,2334081372,401,0.7,1
2016,Hennepin,Interstate,3694924835,558,0.7,1
2016,Hennepin,Local,1386604025,7799,0.3,0.5
2016,Hennepin,Major Collector,755805861,1069,0.5,0.7
2016,Hennepin,Minor Arterial,2577812220,1908,0.5,0.7
2016,Hennepin,Minor Collector,19565446,95,0.5,0.7
2016,Hennepin,Principal Arterial,747040520,237,0.7,1
2016,Houston,Local,27657607,1156,0.3,0.5
2016,Houston,Major Collector,39392006,247,0.5,0.7
2016,Houston,Minor Arterial,96185980,172,0.5,0.7
2016,Houston,Minor Collector,12607290,259,0.5,0.7
2016,Houston,Principal Arterial,18676101,13,0.7,1
2016,Hubbard,Local,28927407,1846,0.3,0.5
2016,Hubbard,Major Collector,59066991,419,0.5,0.7
2016,Hubbard,Minor Arterial,28721744,94,0.5,0.7
2016,Hubbard,Minor Collector,19801141,286,0.5,0.7
2016,Hubbard,Principal Arterial,136883652,199,0.7,1
2016,Isanti,Local,43216215,1425,0.3,0.5
2016,Isanti,Major Collector,82116560,313,0.5,0.7
2016,Isanti,Minor Arterial,174550380,164,0.5,0.7
2016,Isanti,Minor Collector,24180507,199,0.5,0.7
2016,Isanti,Principal Arterial,72359207,47,0.7,1
2016,Itasca,Local,74698698,4973,0.3,0.5
2016,Itasca,Major Collector,108677448,725,0.5,0.7
2016,Itasca,Minor Arterial,63855937,401,0.5,0.7
2016,Itasca,Minor Collector,38126330,811,0.5,0.7
2016,Itasca,Principal Arterial,206237916,262,0.7,1
2016,Jackson,Interstate,93403642,121,0.7,1
2016,Jackson,Local,33880059,1857,0.3,0.5
