year,metro,facilityType,vmt,laneMiles,minElast,maxElast
2018,Duluth,Interstate,244494664,127,0.7,1
2018,Duluth,Local,41521587,1468,0.3,0.5
2018,Duluth,Major Collector,91758474,406,0.5,0.7
2018,Duluth,Minor Arterial,58334019,127,0.5,0.7
2018,Duluth,Minor Collector,18834244,249,0.5,0.7
2018,Duluth,Principal Arterial - Other,60665145,80,0.7,1
2018,Mankato-North Mankato,Local,107594222,3261,0.3,0.5
2018,Mankato-North Mankato,Major Collector,158639520,805,0.5,0.7
2018,Mankato-North Mankato,Minor Arterial,248429504,373,0.5,0.7
2018,Mankato-North Mankato,Minor Collector,64211810,611,0.5,0.7
2018,Mankato-North Mankato,Principal Arterial - Other,395328120,356,0.7,1
2018,Mankato-North Mankato,Principal Arterial - Other Freeways and Expressways,93542349,42,0.7,1
2018,Minneapolis-St. Paul-Bloomington,Interstate,9020169395,1605,0.7,1
2018,Minneapolis-St. Paul-Bloomington,Local,4070485862,35121,0.3,0.5
2018,Minneapolis-St. Paul-Bloomington,Major Collector,2600998269,5454,0.5,0.7
2018,Minneapolis-St. Paul-Bloomington,Minor Arterial,9208242991,7900,0.5,0.7
2018,Minneapolis-St. Paul-Bloomington,Minor Collector,374823454,2495,0.5,0.7
2018,Minneapolis-St. Paul-Bloomington,Principal Arterial - Other,4153141141,1791,0.7,1
2018,Minneapolis-St. Paul-Bloomington,Principal Arterial - Other Freeways and Expressways,4054783680,737,0.7,1
2018,Rochester,Interstate,111881188,109,0.7,1
2018,Rochester,Local,295205107,7138,0.3,0.5
2018,Rochester,Major Collector,383641553,1485,0.5,0.7
2018,Rochester,Minor Arterial,576228725,859,0.5,0.7
2018,Rochester,Minor Collector,98378596,906,0.5,0.7
2018,Rochester,Principal Arterial - Other,438943220,378,0.7,1
2018,Rochester,Principal Arterial - Other Freeways and Expressways,370367647,106,0.7,1
2018,St. Cloud,Interstate,667103218,231,0.7,1
2018,St. Cloud,Local,271097241,5648,0.3,0.5
2018,St. Cloud,Major Collector,325115909,1104,0.5,0.7
2018,St. Cloud,Minor Arterial,388276553,472,0.5,0.7
2018,St. Cloud,Minor Collector,98026301,780,0.5,0.7
2018,St. Cloud,Principal Arterial - Other,735412364,500,0.7,1
2019,Duluth,Interstate,246428171,127,0.7,1
2019,Duluth,Local,42576650,1574,0.3,0.5
2019,Duluth,Major Collector,91947708,406,0.5,0.7
2019,Duluth,Minor Arterial,58785348,127,0.5,0.7
2019,Duluth,Minor Collector,18860226,249,0.5,0.7
2019,Duluth,Principal Arterial - Other,61300502,80,0.7,1
2019,Mankato-North Mankato,Local,111510018,3340,0.3,0.5
2019,Mankato-North Mankato,Major Collector,160493674,804,0.5,0.7
