year,metro,facilityType,vmt,laneMiles,minElast,maxElast
2016,Duluth,Interstate,232206467,127,0.7,1
2016,Duluth,Local,41562760,1456,0.3,0.5
2016,Duluth,Major Collector,87418931,417,0.5,0.7
2016,Duluth,Minor Arterial,58547737,129,0.5,0.7
2016,Duluth,Minor Collector,18748050,249,0.5,0.7
2016,Duluth,Principal Arterial,61975817,82,0.7,1
2016,Mankato-North Mankato,Freeway/Expressway,88528142,42,0.7,1
2016,Mankato-North Mankato,Local,108117526,3262,0.3,0.5
2016,Mankato-North Mankato,Major Collector,156781123,830,0.5,0.7
2016,Mankato-North Mankato,Minor Arterial,242535543,368,0.5,0.7
2016,Mankato-North Mankato,Minor Collector,55946610,603,0.5,0.7
2016,Mankato-North Mankato,Principal Arterial,362822839,320,0.7,1
2016,Minneapolis-St. Paul-Bloomington,Freeway/Expressway,3933762954,746,0.7,1
2016,Minneapolis-St. Paul-Bloomington,Interstate,8986661361,1542,0.7,1
2016,Minneapolis-St. Paul-Bloomington,Local,3965572348,34983,0.3,0.5
2016,Minneapolis-St. Paul-Bloomington,Major Collector,2527107079,5448,0.5,0.7
2016,Minneapolis-St. Paul-Bloomington,Minor Arterial,8894521166,7519,0.5,0.7
2016,Minneapolis-St. Paul-Bloomington,Minor Collector,358061923,2501,0.5,0.7
2016,Minneapolis-St. Paul-Bloomington,Principal Arterial,4004942413,1761,0.7,1
2016,Rochester,Freeway/Expressway,328866871,110,0.7,1
2016,Rochester,Interstate,108997674,109,0.7,1
2016,Rochester,Local,283144560,7111,0.3,0.5
2016,Rochester,Major Collector,353780454,1513,0.5,0.7
2016,Rochester,Minor Arterial,567728414,872,0.5,0.7
2016,Rochester,Minor Collector,95664431,906,0.5,0.7
2016,Rochester,Principal Arterial,424759906,365,0.7,1
2016,St. Cloud,Interstate,622184888,231,0.7,1
2016,St. Cloud,Local,266234281,5640,0.3,0.5
2016,St. Cloud,Major Collector,309299936,1107,0.5,0.7
2016,St. Cloud,Minor Arterial,374207827,447,0.5,0.7
2016,St. Cloud,Minor Collector,89964087,780,0.5,0.7
2016,St. Cloud,Principal Arterial,695367317,503,0.7,1
2017,Duluth,Interstate,232735632,127,0.7,1
2017,Duluth,Local,41609049,1468,0.3,0.5
2017,Duluth,Major Collector,89211410,417,0.5,0.7
2017,Duluth,Minor Arterial,58714753,129,0.5,0.7
2017,Duluth,Minor Collector,18810012,249,0.5,0.7
2017,Duluth,Principal Arterial,62116700,81,0.7,1
2017,Mankato-North Mankato,Freeway/Expressway,92353019,42,0.7,1
2017,Mankato-North Mankato,Local,107566037,3271,0.3,0.5
2017,Mankato-North Mankato,Major Collector,153795482,815,0.5,0.7
2017,Mankato-North Mankato,Minor Arterial,245479279,369,0.5,0.7
2017,Mankato-North Mankato,Minor Collector,63296065,615,0.5,0.7
2017,Mankato-North Mankato,Principal Arterial,387295767,338,0.7,1
2017,Minneapolis-St. Paul-Bloomington,Freeway/Expressway,4034663292,734,0.7,1
2017,Minneapolis-St. Paul-Bloomington,Interstate,9128264586,1575,0.7,1
2017,Minneapolis-St. Paul-Bloomington,Local,4033398981,35120,0.3,0.5
2017,Minneapolis-St. Paul-Bloomington,Major Collector,2570828704,5442,0.5,0.7
2017,Minneapolis-St. Paul-Bloomington,Minor Arterial,9102196926,7551,0.5,0.7
2017,Minneapolis-St. Paul-Bloomington,Minor Collector,365610515,2505,0.5,0.7
2017,Minneapolis-St. Paul-Bloomington,Principal Arterial,4060663791,1754,0.7,1
2017,Rochester,Freeway/Expressway,343122664,111,0.7,1
2017,Rochester,Interstate,113086546,109,0.7,1
2017,Rochester,Local,286930560,7135,0.3,0.5
2017,Rochester,Major Collector,363840639,1511,0.5,0.7
2017,Rochester,Minor Arterial,560042556,872,0.5,0.7
2017,Rochester,Minor Collector,94887676,905,0.5,0.7
2017,Rochester,Principal Arterial,436320617,371,0.7,1
2017,St. Cloud,Interstate,669987136,231,0.7,1
2017,St. Cloud,Local,268496603,5653,0.3,0.5
2017,St. Cloud,Major Collector,325163592,1112,0.5,0.7
2017,St. Cloud,Minor Arterial,386141481,458,0.5,0.7
2017,St. Cloud,Minor Collector,96101748,780,0.5,0.7
2017,St. Cloud,Principal Arterial,729424695,485,0.7,1
2018,Duluth,Interstate,244494664,127,0.7,1
2018,Duluth,Local,41521587,1468,0.3,0.5
2018,Duluth,Major Collector,91758474,416,0.5,0.7
2018,Duluth,Minor Arterial,58334019,129,0.5,0.7
